Symbol,Description,Moving Averages Rating 1 day,Technical Rating 1 day,Analyst Rating,Price,Price - Currency,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency",Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Industry,Exchange,"Dividend payout ratio %, Trailing 12 months","Dividends per share, Quarterly","Dividends per share, Quarterly - Currency",Price to earnings ratio,"EPS diluted growth %, TTM YoY","EPS diluted growth %, Quarterly YoY","Gross profit growth %, TTM YoY","Gross profit growth %, Quarterly YoY","Total debt growth %, Annual YoY","Total debt growth %, Quarterly YoY","Debt to equity ratio, Quarterly","Return on invested capital %, Trailing 12 months","Total debt to capital, Annual",Momentum (10) 1 week,"Revenue growth %, TTM YoY","Revenue growth %, Quarterly YoY",Analyst Rating,Target price 1 year,Target price 1 year - Currency,Target price performance % 1 year
NFLX,"Netflix, Inc.",Strong buy,Buy,Buy,1022.45,USD,19.8284,USD,2025613,437360208104.1684,USD,51.56492707429748,64.99742040707639,0,Technology services,Internet software/Services,NASDAQ,0,0,USD,51.56492707429748,64.99742040707639,102.15074138992846,27.334047738248817,25.500462366750444,6.01883868227967,6.01883868227967,0.7272586850553929,22.5385893642406,0.421047924869499,103.58000000000004,15.282192011059891,15.396229405654477,Buy,1076.256383,USD,5.262495280942825
HD,"Home Depot, Inc. (The)",Strong sell,Sell,Buy,393.3872,USD,14.7184,USD,1443879,390776128441.15533,USD,26.727579084683118,-5.558656887845124,2.276,Retail trade,Home improvement chains,NYSE,60.06087618219371,2.25,USD,26.727579084683118,-5.558656887845124,-3.67350149457234,0.22556699339703895,4.769805060141021,3.7308394885235483,28.67323114404629,10.953681299688899,26.1642743935744,0.9804079794321321,-23.59280000000001,0.57379288809087,6.648103951206577,Buy,435.882353,USD,10.80237308178813
PG,Procter & Gamble Company (The),Strong sell,Sell,Buy,166.59,USD,6.2766,USD,3504863,390628875356.40045,USD,26.541439632922284,5.119831181228958,2.41816,Consumer non-durables,Household/Personal care,NYSE,63.094669088359936,1.0065,USD,26.541439632922284,5.119831181228958,34.064056939501775,2.60698824253034,1.726121979286536,-5.801151761517615,2.892145230185097,0.677904158849281,20.9101592576083,0.39888352299894797,-4.469999999999999,0.49205914241120896,2.056807051909892,Buy,182,USD,9.250255117353978
JNJ,Johnson & Johnson,Strong buy,Strong buy,Buy,159.48,USD,5.7974,USD,3828685,383966709706.958,USD,27.508883292510436,3.950081583618726,3.10976,Health technology,Pharmaceuticals: major,NYSE,84.69313830337738,1.24,USD,27.508883292510436,3.950081583618726,-15.139872733821585,-3.427594828541136,5.594695399917116,24.32308096740273,24.32308096740273,0.529220870051755,14.1298669988347,0.346072225677802,12.859999999999985,-4.511100360156964,5.273245757561591,Buy,168.944444,USD,5.934564835716083
ABBV,AbbVie Inc.,Strong buy,Strong buy,Buy,200.06,USD,2.3916,USD,2133212,353176903894.2224,USD,83.65111222612477,-12.08645787384209,3.18723,Health technology,Pharmaceuticals: major,NYSE,263.0038467971233,1.64,USD,83.65111222612477,-12.08645787384209,-103.95455538562376,3.3082274177519744,7.00548081714001,12.842648037258817,12.842648037258817,20.4033082706767,6.6399793186109,0.9532782508501251,26.689999999999998,3.711476858499945,5.601006922592826,Buy,208.125,USD,4.031290612816152
BAC,Bank of America Corporation,Sell,Sell,Buy,45.39,USD,3.2189,USD,27987407,345457027407.2367,USD,14.101090434620522,4.727355543987513,2.17344,Finance,Major banks,NYSE,31.066513405200535,0.26,USD,14.101090434620522,4.727355543987513,132.95454545454547,,,4.850064732288593,4.850064732288593,2.2277379474149,4.70312518959322,0.690185505672509,-0.28000000000000114,12.454037588301821,5.194194328719258,Buy,53.125,USD,17.041198501872667
CRM,"Salesforce, Inc.",Strong sell,Sell,Buy,319.9,USD,6.0784,USD,3791068,306144298848.6636,USD,52.628981310871275,130.72309736192827,0.493021,Technology services,Packaged software,NYSE,19.742037378257436,0.4,USD,52.628981310871275,130.72309736192827,26.825358659934277,15.35309925547381,12.474402730375427,-8.851401303851066,-11.490660658478086,0.20808201623237899,8.46219104447819,0.185252977816632,-34.410000000000025,9.527596159509926,8.302752293577981,Buy,402,USD,25.664270084401373
TMUS,"T-Mobile US, Inc.",Strong buy,Buy,Buy,264.56,USD,9.6762,USD,1111519,302060062909.1114,USD,27.341311671937333,39.48278844490572,1.07462,Communications,Wireless telecommunications,NASDAQ,29.247018457659003,0.88,USD,27.341311671937333,39.48278844490572,53.87100634198876,7.780725022104333,11.587693689647429,0.7587146065826008,0.7587146065826008,1.8455159456439,6.7388151951695,0.648569883598486,32.620000000000005,3.617709208482904,6.807305400918058,Buy,255.880584,USD,-3.2806985182945225
KO,Coca-Cola Company (The),Strong buy,Buy,Buy,69.896,USD,2.4606,USD,5299587,301097769064.0136,USD,28.40607981793059,-0.3361821053910728,2.76866,Consumer non-durables,Beverages: non-alcoholic,NYSE,78.8425587255141,0.485,USD,28.40607981793059,-0.3361821053910728,11.56462585034013,7.77943693775722,9.390782828282829,2.52383364804495,3.383257866016487,1.7911972964274199,16.390687634906,0.6417308080371301,6.776000000000003,2.4548169787874166,5.511379215793803,Buy,75.066667,USD,7.397657948952729
ASML,ASML Holding N.V. - New York Registry Shares,Buy,Neutral,Buy,743.12,USD,20.7823,USD,659675,289881336338.3048,USD,35.757351207517935,-3.3543220670027316,0.766171,Electronic technology,Semiconductors,NASDAQ,0,,,35.757351207517935,-3.3543220670027316,30.450018773131184,2.4780886622350633,27.8059294050571,-29.064622933816054,-28.374828089612713,0.199022558018705,37.948179555536,0.16598733417290698,24.539999999999964,2.5293581294821985,26.95357914870949,Buy,912.844125,USD,22.839396732694574
CVX,Chevron Corporation,Strong buy,Strong buy,Buy,158.53,USD,9.6988,USD,3494851,284892896761.3779,USD,16.345321070647916,-14.539735128514659,4.14679,Energy minerals,Integrated oil,NYSE,67.22481131686393,1.63,USD,16.345321070647916,-14.539735128514659,50.71121402580218,-23.447842958228716,-51.78718724223261,-5.864978902953586,-5.864978902953586,0.16111687390853302,9.76233973340261,0.138760255344653,4.659999999999997,-1.9374597524554171,-0.9508586417476126,Buy,176.363636,USD,11.249376143316736
WFC,Wells Fargo & Company,Buy,Neutral,Buy,78.81,USD,5.3756,USD,8521289,259198196381.57254,USD,14.660689039363048,11.300674976189507,1.86683,Finance,Major banks,NYSE,27.90386189448619,0.4,USD,14.660689039363048,11.300674976189507,65.49010531188519,,,-6.415189554027628,-6.415189554027628,1.5737159446181301,5.51507753742644,0.611456733564134,8.370000000000005,7.677654676381901,-7.931874943580176,Buy,85.45,USD,8.425326735185902
CSCO,"Cisco Systems, Inc.",Strong buy,Buy,Buy,64.36,USD,2.2821,USD,5572075,256042889582.2239,USD,28.202094562026208,-30.538138430632504,2.46761,Electronic technology,Telecommunications equipment,NASDAQ,70.11086280180537,0.4,USD,28.202094562026208,-30.538138430632504,-6.262563785371901,-6.998942430241072,7.211247121561024,242.49282754223782,156.48836841272353,0.711948166044366,15.3381249321747,0.414884990153046,5.740000000000002,-5.34132406129331,9.381596434993353,Buy,71.368421,USD,10.889404909881906
PLTR,Palantir Technologies Inc.,Strong buy,Buy,Neutral,104.2701,USD,0.1891,USD,198506669,244550570606.48477,USD,551.4019037546273,109.4130675526024,0,Technology services,Packaged software,NASDAQ,0,0,USD,551.4019037546273,109.4130675526024,-21.21212121212122,28.18485016224364,30.672728837267943,4.283933179884215,4.283933179884215,0.0478124828237505,10.445823941795,0.045630762762914,28.200100000000006,28.78613688375613,36.02679378647161,Neutral,95.277778,USD,-8.624065767655352
IBM,International Business Machines Corporation,Strong buy,Buy,Buy,264.285,USD,6.4149,USD,2793373,244369848019.14728,USD,41.19861572277043,-21.02016694984117,2.52346,Technology services,Packaged software,NYSE,103.97667929351977,1.67,USD,41.19861572277043,-21.02016694984117,-12.854644932032263,4.081693059049874,4.533385780312715,-2.5677817635772087,-2.5677817635772087,2.13849928589739,7.75788686253773,0.681376381223528,33.46500000000003,1.4435822825735531,0.9895863299004661,Buy,255.705882,USD,-3.2461615301663027
ACN,Accenture plc,Strong buy,Buy,Buy,385.62,USD,11.9295,USD,1277304,241197567286.60373,USD,32.32490883943166,10.550458715596335,1.41971,Technology services,Information technology services,NYSE,44.846808332285505,1.48,USD,32.32490883943166,10.550458715596335,15.971863706763024,2.7824397710692637,6.810702713417377,30.851207068580393,164.47434632958274,0.279077042030291,23.1218876435751,0.127141356025659,26.939999999999998,2.7457937160888495,9.031155298320057,Buy,407.238095,USD,5.606061666925988
PM,Philip Morris International Inc,Strong buy,Strong buy,Buy,151.745,USD,4.5212,USD,3916483,235941825765.73242,USD,33.56299212598425,-9.846460618145551,3.53805,Consumer non-durables,Tobacco,NYSE,117.22551534990708,1.35,USD,33.56299212598425,-9.846460618145551,-126.45577700546139,8.543939603185564,11.032820322640461,-4.637651194045281,-4.637651194045281,,22.9430663600633,1.34184801582684,25.125,7.7530017152658655,7.674288901282766,Buy,150.583333,USD,-0.7655388974925015
ABT,Abbott Laboratories,Strong buy,Buy,Buy,132.86,USD,7.6622,USD,1950451,230439726413.93375,USD,17.339667458432306,134.63375796178346,1.6953,Health technology,Medical specialties,NYSE,29.234423533710945,0.59,USD,17.339667458432306,134.63375796178346,479.64689110648095,20.97096098193793,15.652339292506657,,,,,,19.480000000000018,4.589992271061358,7.1575041499853524,Buy,135.52381,USD,2.0049751618244738
AZN,AstraZeneca PLC,Strong buy,Buy,Buy,74.625,USD,2.2536,USD,2052694,228338164116.9954,USD,33.113684771033014,18.082263557767877,1.97128,Health technology,Pharmaceuticals: major,NASDAQ,66.96625253326283,1.03,USD,33.113684771033014,18.082263557767877,56.162601626016276,16.79076582638079,15.52119129438717,5.845154077283208,5.845154077283208,0.742779385083117,10.7593484744207,0.426203908217386,8.045000000000002,18.03496976708651,23.84397870924817,Buy,86.987639,USD,16.566350418760468
GE,GE Aerospace,Strong buy,Buy,Buy,208.095,USD,5.9733,USD,1594247,223346392287.73666,USD,34.83752699512832,-28.533655571773824,0.532066,Electronic technology,Aerospace & defense,NYSE,18.750104632280316,0.28,USD,34.83752699512832,-28.533655571773824,20.99004424778762,-11.173814898419865,-19.9802371541502,-6.368314648042639,-11.156646466407986,1.05356219625685,14.9271339347675,0.513041289023162,42.08500000000001,-32.601465697383524,-44.311099665207315,Buy,230,USD,10.526442249933933
MRK,"Merck & Company, Inc.",Strong sell,Sell,Buy,87.015,USD,6.7339,USD,7472386,220116250182.38394,USD,12.921932312627154,4993.721633888048,3.64486,Health technology,Pharmaceuticals: major,NYSE,46.33273437383983,0.81,USD,12.921932312627154,4993.721633888048,,23.10814660083555,27.236059292124636,,,,,,-14.985,7.406046433940204,9.92753113346936,Buy,115.75,USD,33.02304200425215
LIN,Linde plc,Strong buy,Buy,Buy,460.05,USD,13.6155,USD,546627,219056444423.89606,USD,33.78869670596012,8.086974469706599,1.20328,Process industries,Chemicals: specialty,NASDAQ,40.83581212588594,1.39,USD,33.78869670596012,8.086974469706599,13.913236085181794,4.642300363762342,4.346338124572211,6.438592173270982,6.438592173270982,0.567652000420036,12.2404840258421,0.362103324122917,24.75,0.4596091800085226,-0.2409058058299205,Buy,500.249384,USD,8.738046734050652
ISRG,"Intuitive Surgical, Inc.",Strong buy,Buy,Buy,605.37,USD,6.4134,USD,632469,215909430518.2722,USD,94.391430442511,27.5384798950006,0,Health technology,Medical specialties,NASDAQ,0,0,USD,94.391430442511,27.5384798950006,11.33892696761996,19.207007447528774,28.558008454673555,62.58351893095768,62.58351893095768,0.00888418311153301,15.5262832447031,0.00880594944419983,65.78999999999996,17.23726505804242,25.162059845459734,Buy,641.524231,USD,5.972253497860813
MCD,McDonald's Corporation,Strong buy,Buy,Buy,300.39,USD,11.3924,USD,1304828,215265390401.6119,USD,26.36757838559039,-1.4975444421387527,2.24548,Consumer services,Restaurants,NYSE,59.51335978371546,1.77,USD,26.36757838559039,-1.4975444421387527,0.035693889206163974,0.9416300709180372,-0.6089176978982518,-3.351032470602417,-3.351032470602417,,17.6802778790117,1.07991160686099,3.7899999999999636,1.6721778321703007,-0.2840997783397334,Buy,331.933333,USD,10.500793302040679
MS,Morgan Stanley,Sell,Sell,Neutral,133.57,USD,7.9491,USD,5455403,215186034773.90247,USD,16.803160106175543,53.65924379494318,2.57659,Finance,Investment managers,NYSE,44.65914380244305,0.925,USD,16.803160106175543,53.65924379494318,161.17647058823533,,,-14.82036760942611,-14.82036760942611,2.9301317564658302,3.62050411261147,0.7455556042479221,6.1699999999999875,11.066629426186264,7.461623674632062,Neutral,141.368421,USD,5.838452496818158
AXP,American Express Company,Sell,Sell,Neutral,303.005,USD,14.0108,USD,1694987,212870749544.948,USD,21.626530961829445,24.92577104491187,0.903459,Finance,Finance/Rental/Leasing,NYSE,19.984583321437746,0.7,USD,21.626530961829445,24.92577104491187,15.854495538778327,9.440778382544194,5.9239771387099704,3.9260359242458147,3.9260359242458147,1.6881112873380901,15.1184299571396,0.627991592196969,0.8650000000000091,10.124233743487746,8.256311992786294,Neutral,324.458333,USD,7.080191085955678
TMO,Thermo Fisher Scientific Inc,Strong sell,Sell,Buy,538.95,USD,16.5249,USD,1023776,206148500890.70367,USD,32.61441824156274,6.950359200051766,0.293863,Health technology,Medical specialties,NYSE,9.440299184866475,0.39,USD,32.61441824156274,6.950359200051766,13.78243275410618,3.769864977894611,12.952188211484946,-14.136283768943553,-14.136283768943553,0.631167887630926,8.00891709257183,0.38694232054042,12.06000000000006,0.05133350444501482,4.675730295792762,Buy,669.111111,USD,24.150869468410807
PEP,"PepsiCo, Inc.",Buy,Buy,Buy,148.7043,USD,6.9477,USD,3305542,203947925883.23615,USD,21.40338529297465,5.910060975609765,3.65544,Consumer non-durables,Food: specialty/candy,NASDAQ,76.71603552254703,1.355,USD,21.40338529297465,5.910060975609765,17.310140008485376,1.087741831901742,-0.8348481788190938,1.4661821890737554,1.4661821890737554,2.6468045008591505,16.4336084278435,0.725787329766537,-9.26570000000001,0.4209122316001224,-0.236983842010772,Buy,162.5,USD,9.277270395005388
NOW,"ServiceNow, Inc.",Strong sell,Sell,Buy,969.045,USD,6.8404,USD,809704,199623272962.67786,USD,141.66496111338517,-18.727277047739,0,Technology services,Packaged software,NYSE,0,0,USD,141.66496111338517,-18.727277047739,28.92428601501648,23.361702127659576,21.082769390942218,-0.2626970227670753,-0.2626970227670753,0.237069414090956,13.1895594224361,0.191637923782283,-152.05499999999995,22.43897001449114,21.337710299548625,Buy,1182.216216,USD,21.998071916164896
DIS,Walt Disney Company (The),Sell,Neutral,Buy,110.245,USD,3.0798,USD,3371011,199299675549.0855,USD,35.79615559451913,89.16528468767274,0.853166,Consumer services,Movies/Entertainment,NYSE,30.846158841483213,0.5,USD,35.79615559451913,89.16528468767274,34.89533320530055,14.003189792663475,18.74062968515742,-2.279365329965267,-4.994757810861816,0.44448804606947695,3.96896923430349,0.329645237096656,-3.094999999999999,3.973173457981912,5.096330471186296,Buy,128.222222,USD,16.306609823574746
GS,"Goldman Sachs Group, Inc. (The)",Buy,Neutral,Buy,636.265,USD,40.5496,USD,2692295,198539521938.7021,USD,15.691030244441375,77.68390794524387,1.72117,Finance,Investment banks/Brokers,NYSE,28.36032907846193,3,USD,15.691030244441375,77.68390794524387,118.19708948819543,,,3.4775285961548623,3.4775285961548623,5.45901639344262,4.17462909812396,0.8451776649746191,50.78499999999997,14.547618398699043,8.112378073911252,Buy,665,USD,4.516200011001703
ADBE,Adobe Inc.,Buy,Buy,Buy,454.98,USD,12.4088,USD,1216295,198056949680.1335,USD,36.66591451228161,4.983163843719848,0,Technology services,Packaged software,NASDAQ,0,0,USD,36.66591451228161,4.983163843719848,17.586431025410874,12.635764733812097,13.304327913899701,48.431372549019606,48.431372549019606,0.429351293867423,28.4311720188178,0.300381925499727,-10.70999999999998,11.016467915956843,11.163989688677374,Buy,572.353235,USD,25.797449338432465
BX,Blackstone Inc.,Strong sell,Sell,Neutral,163.18,USD,3.6243,USD,1956129,197651432625.18134,USD,45.02386667770328,97.40196078431372,2.06773,Finance,Investment managers,NYSE,95.19079546395167,0.86,USD,45.02386667770328,97.40196078431372,357.3426573426574,9.208109830323231,22.691524800084284,-0.058435569822453154,-0.058435569822453154,1.4961297786581902,14.0772651783054,0.599379804467716,-25.23999999999998,8.19209361213683,23.390678731932752,Neutral,183.789474,USD,12.629901948768229
QCOM,QUALCOMM Incorporated,Strong buy,Buy,Buy,173.33,USD,9.3564,USD,3351321,191702981335.4383,USD,18.525287503740756,35.596069679139745,1.91188,Electronic technology,Semiconductors,NASDAQ,35.80436920182976,0.85,USD,18.525287503740756,35.596069679139745,15.436624307592052,13.058794343835276,15.738929397118975,-3.90240866372067,-5.833333333333333,0.542299107142857,26.9648463636832,0.370139521503572,14.800000000000011,12.13215033616224,17.453447408152993,Buy,199.955172,USD,15.36097155714533
T,AT&T Inc.,Strong buy,Buy,Buy,26.059,USD,1.492,USD,15694419,187056271914.23993,USD,17.465817694369974,-24.00162999185004,4.23018,Communications,Wireless telecommunications,NYSE,74.39678284182307,0.2775,USD,17.465817694369974,-24.00162999185004,88.17783765577634,-1.85510387087132,-4.615961034095166,-8.816270364782891,-8.816270364782891,1.38404936189783,4.47839648207803,0.5805455977623101,2.429000000000002,-0.07514620838370308,0.8619074386359378,Buy,26.599788,USD,2.0752446371695044
AMD,"Advanced Micro Devices, Inc.",Strong sell,Sell,Buy,113.99,USD,1.0032,USD,19934096,184718294268.71463,USD,113.62639553429025,91.59663865546221,0,Electronic technology,Semiconductors,NASDAQ,0,0,USD,113.62639553429025,91.59663865546221,-27.99609470344155,31.25,42.45585874799358,-25.345770344162112,-22.71062271062271,0.0403175375208449,2.78314846850514,0.0387550301390907,-12.920000000000002,13.690476190476192,24.156939040207522,Buy,148.783333,USD,30.52314501272042
